"PlotID","Compnum","Aspect","SoilType","Slope","Topo","Elev","Comments"
"2000-00001",2000,"NW","X",45,"X",3920,NA
"2000-00002",2000,"N","X",12,"X",3960,NA
"2000-00003",2000,"NW","X",20,"X",3960,NA
"2000-00004",2000,"N","X",7,"X",4000,NA
"2000-00005",2000,"N","X",10,"X",4020,NA
"2000-00006",2000,"NW","X",24,"X",4010,NA
"2000-00007",2000,"NE","X",15,"X",4050,NA
"2000-00008",2000,"N","X",12,"X",4100,NA
"2000-00009",2000,"NW","X",10,"X",4070,NA
"2000-00010",2000,"NE","X",5,"X",4080,NA
"2000-00011",2000,"W","X",8,"X",4130,NA
"2000-00012",2000,"N","X",18,"X",4140,NA
"2000-00013",2000,"W","X",27,"X",4100,NA
"2000-00014",2000,"NW","X",25,"X",4170,NA
"2000-00015",2000,"NE","X",13,"X",4230,NA
"2000-00016",2000,"W","X",15,"X",4120,NA
"2000-00017",2000,"W","X",25,"X",4240,NA
"2000-00018",2000,"E","X",25,"X",4240,NA
"2000-00019",2000,"E","X",32,"X",4280,NA
"2000-00020",2000,"NW","X",41,"X",4230,NA
"2000-00021",2000,"N","X",33,"X",4280,NA
"2000-00022",2000,"N","X",34,"X",4380,NA
"2000-00023",2000,"E","X",46,"X",4330,NA
"2000-00024",2000,"NW","X",16,"X",4240,NA
"2000-00025",2000,"NE","X",18,"U",-9,NA
