"Type","Acres","Style","Compnum","LastHarv","LHType"
"U",61,"G",10,2000,"G"
"U,R",39.9,"G,YR",20,2005,"CT"
"U",36.1,"G",30,2006,"G"
"E",1.5,"G",31,2009,"G"
"U",44.4,"G,YR",40,1996,"G"
"U",41,"G",50,2005,"G"
"U",59.2,"G",60,2007,"GOnly"
"E",38.9,"OSR",70,2000,"OSR"
"E",19.2,"SW",80,2008,"SWR"
"E",34.4,"SW",81,1994,"SWR"
"E",12.6,"E",90,2006,"CT"
"E",15.9,"P1999",91,1999,"CC"
"E",33.9,"OSR",100,NA,NA
"U",7.4,"ITS",101,NA,NA
"U",44.1,"ITS",110,NA,NA
"E",7.6,"CT",120,NA,NA
"E",7.4,"CT",121,NA,NA
"E",14.76,"CT",122,NA,NA
"YR",62,"REG",123,NA,NA
"U",44.1,"ITS",130,NA,NA
"E",32,"CT",140,NA,NA
"E",41.8,"P90",141,NA,NA
"E",0.6,"CT",142,NA,NA
"E",17.3,"E",150,NA,NA
"E",21,"P82",151,NA,NA
"E",16,"P99",152,NA,NA
"U",54.9,"ITS",160,NA,NA
"E",30.6,"OSR",170,NA,NA
"U",14.8,"ITS",171,NA,NA
"U",58,"G",180,NA,NA
"U",58,"G",190,NA,NA
"E",11,"P80",200,NA,NA
"R",17.1,"YR",210,NA,NA
"R",11,"YR",211,NA,NA
"R",63.5,"YR",220,NA,NA
"R",1,"YR",221,NA,NA
"U",43.1,"ITS",230,NA,NA
"U",30,"G",240,NA,NA
"R",68,"AR",250,2012,"FB"
"R",16.79,"AR",251,2012,"FB"
"U",28.3,"G",260,NA,NA
"U",67.1,"G",270,NA,NA
"E",46.3,"SW",280,NA,NA
"R",95.7,"OR",290,NA,NA
"R",4.8,"OR",291,NA,NA
"R",132,"OGR",292,NA,NA
"E",23.6,"CT",295,NA,NA
"R",14.7,"OR",300,NA,NA
"E",22.8,"P86",301,NA,NA
"R",22.9,"OR",310,NA,NA
"E",10.9,"CT",320,NA,NA
"E",15.6,"P80",321,NA,NA
"E",0.7,"P80",322,NA,NA
"E",21.8,"P91",330,NA,NA
"U",42.7,"G",340,NA,NA
"U",34,"G",350,NA,NA
"E",22.4,"P84",360,NA,NA
"E",14,"P84",370,NA,NA
"E",26.8,"P84",371,NA,NA
"E",0.4,"P84",372,NA,NA
"U",54.5,"G",380,NA,NA
"R",30.6,"OR",390,NA,NA
"U",43.8,"G",400,NA,NA
"U",48.5,"ITS",410,NA,NA
"U",44.3,"G",420,NA,NA
"E",21.9,"P88",430,NA,NA
"E,R",12.9,"P88",431,NA,NA
"E",34.9,"SW97",440,NA,NA
"E",20.9,"CT",450,NA,NA
"E",11,"P69",451,NA,NA
"E",23,"P88",452,NA,NA
"R",0.1,"SEGI",453,NA,NA
"E",16.7,"P88",460,NA,NA
"E",3.9,"P83",461,NA,NA
"E",4.6,"P83",462,NA,NA
"E",6.5,"P96",463,NA,NA
"E",58.8,"YGR,P88",464,NA,NA
"U",21.6,"ITS",470,NA,NA
"U",20.6,"ITS",471,NA,NA
"E",18.5,"P91",480,NA,NA
"E",20.1,"P75",481,NA,NA
"U",71.4,"G",490,NA,NA
"E",38,"CT",500,NA,NA
"E",24.9,"P87",501,NA,NA
"R",34.9,"YR",510,NA,NA
"E",4.1,"P83",511,NA,NA
"E",31.1,"P93",512,NA,NA
"R",29.8,"AR",520,NA,NA
"E",21,"CT",530,NA,NA
"E",15,"CC",531,NA,NA
"E",16.3,"CT",532,2005,NA
"E",18.4,"OSR",540,NA,NA
"E",7.5,"OSR",541,NA,NA
"E",9.9,"CT",550,NA,NA
"E",22.2,"CT",551,NA,NA
"E",11.2,"CT",552,NA,NA
"E",8.3,"P85",553,NA,NA
"E",14.3,"P84",560,NA,NA
"E",3.6,"P84",561,NA,NA
"U",13.6,"G",562,NA,NA
"E",2,"P84",563,NA,NA
"E",0.3,"P84",564,NA,NA
"U",31.5,"G",570,NA,NA
"E",19.1,"CT",580,NA,NA
"E",25.7,"CT",581,NA,NA
"U",47.6,"G",590,NA,NA
"R",45,"YR",600,NA,NA
"E",4.3,"P83",611,NA,NA
"E",6.9,"P78",612,NA,NA
"E",20.3,"P88",620,NA,NA
"E",7.2,"P88",621,NA,NA
"E",3.6,"P88",622,NA,NA
"E",9.2,"CT",623,NA,NA
"E",13.4,"P91",624,NA,NA
"R",15.6,"YR",630,NA,NA
"E",35.5,"P85",640,NA,NA
"E",7.1,"P77",641,NA,NA
"E",36.4,"CT",650,NA,NA
"E",10.8,"P98",651,NA,NA
"E",8,"P2001",652,NA,NA
"U",4.9,"ITS",653,NA,NA
"E",12.1,"CT",660,NA,NA
"U",24.1,"ITS",670,NA,NA
NA,NA,NA,1080,NA,NA
"E",42,NA,1090,NA,NA
NA,NA,NA,1110,NA,NA
NA,NA,NA,1120,NA,NA
NA,NA,NA,1130,NA,NA
NA,NA,NA,1140,NA,NA
