"InvID","PlotID","Invdate","Treenum","Species","Bhage","Theight","Comment"
1,"0001-00201","1999-06-17 00:00:00",-1,"PP",86,148,"Site Tree 86yrs. Old"
2,"0001-00202","1998-06-18 00:00:00",-2,"GS",54,114,"Site Tree 54yrs."
4,"0001-00204","1999-06-20 00:00:00",14,"IC",86,134,"1/100; WITNESS AZ140DIST8.1'; SITE TREE AGE 86"
8,"0001-00301","1999-06-28 00:00:00",32,"PP",103,126,"WITNESS AZ266DIST26; SITE TREE 103"
10,"0001-00303","1999-06-27 00:00:00",4,"PP",103,145,"WITNESS AZ127DIST13.8' SITE TREE AGE 103"
18,"0001-00404","1999-07-07 00:00:00",-5,"SP",110,185,"APPROX. 110 YRS  CORE MISSED MIDDLE; DIST. 43.3  AZ 305"
19,"0001-00405","1999-06-30 00:00:00",5,"GS",105,207,"SITE TREE 105YRS; POSSIBLY SUPRESSSED IN MIDDLE YEARS"
20,"0001-00406","1999-06-30 00:00:00",-4,"WF",80,92,"SITE TREE AGE 80; AZ18 DIST44.3"
20,"0001-00406","1999-06-30 00:00:00",25,"GS",96,154,"96 YRS OLD.  WAS SUPPRESSED BY SOMETHING FOR ABOUT 15YRS AGE21-36"
3,"0001-00203","1999-06-18 00:00:00",49,"WF",73,99,"SITE TREE 73YRS. AZ337DIST35.4'"
3,"0001-00203","1999-06-18 00:00:00",26,"GS",52,132,"SITE TREE 52YRS.AZ159DIST35'"
23,"0001-00502","1999-07-13 00:00:00",12,"GS",107,157,"SITE TREE 107YRS HIT CENTER"
23,"0001-00502","1999-07-13 00:00:00",4,"SP",119,135,"WHITNESS DIST14.8 AZ64; HIT PITH"
24,"0001-00503","1999-07-13 00:00:00",4,"WF",87,168,"WITNESS AZ141DIST34.8; SITE TREE AGE 87"
27,"0001-00506","1999-07-12 00:00:00",-6,"PP",104,176,"""HIT PITH"
28,"0001-00507","1999-07-12 00:00:00",2,"WF",75,132,"WITNESS AZ38DIST24.8 SITE TREE AGE75"
29,"0001-00601","1999-07-14 00:00:00",-7,"SP",120,213,"DIST56  AZ339; HIT CENTER"
30,"0001-00602","1999-07-14 00:00:00",5,"GS",109,168,"WITNESS AZ103DIST4.7; SITE TREE AGE109"
30,"0001-00602","1999-07-14 00:00:00",16,"WF",90,144,"WITNESS AZ261DIST15.6; SITE TREE AGE 90"
39,"0001-00704","1999-07-22 00:00:00",7,"GS",109,174,"""WHITNESS DIST 29.7 AZ 325, CORE HIT PITH"""
39,"0001-00704","1999-07-22 00:00:00",2,"WF",97,126,"""WHITNESS 19.6 AZ49, CORE HIT PITH"""
44,"0001-00803","1999-07-25 00:00:00",14,"SP",99,136,"""CORE HIT CETER, NOT GOOD SITE TREE"
49,"0001-00808","1999-07-26 00:00:00",15,"GS",107,172,"SITE TREE CORE HIT PITH"
50,"0001-00809","1999-07-27 00:00:00",-8,"SP",80,131,"""DIST 91.8 AZ 335, CORE HIT CENTER"
51,"0001-00810","1999-07-27 00:00:00",-9,"WF",96,148,"""CORE HIT PITH "
53,"0001-00902","1999-08-09 00:00:00",12,"IC",117,124,"""WHITNESS DIST 15.4 AZ182"
58,"0001-00907","1999-08-04 00:00:00",18,"IC",123,134,"WITNESS AZ287DIST19.9; SITE TREE CORE HIT PITH"
60,"0001-00909","1999-08-03 00:00:00",9,"GS",96,158,"SITE TREE CORE HIT PITH"
61,"0001-00910","1999-08-03 00:00:00",7,"WF",118,177,"SITE TREE CORE HIT PITH"
73,"0001-01102","1999-08-24 00:00:00",4,"GS",103,162,"CORE HIT CENTER"
73,"0001-01102","1999-08-24 00:00:00",8,"WF",89,122,"""M2, CORE HIT CENTER"""
74,"0001-01103","1999-08-24 00:00:00",11,"SP",92,157,"WITNESS AZ260DIST23.8; SITE TREE CORE HIT PITH"
75,"0001-01104","1999-08-24 00:00:00",9,"IC",106,126,"CORE HIT CENTER"
77,"0001-01202","1999-08-28 00:00:00",2,"GS",110,181,"SITE TREE; CORE HIT CENTER"
77,"0001-01202","1999-08-28 00:00:00",5,"WF",89,124,"WITNESS AZ101DIST7.9 CORE HIT PITH BUT WAS SPLIT LENGTHWISE,COE HIT CENTER BUT WAS SPLIT LENGTHWISE"
79,"0001-01204","1999-08-29 00:00:00",5,"WF",128,146,"""TUSSOCK MOTH, CORE HIT CENTER, NOT GOOD SITE TREE, SUPPRESSED FIRST 10 YRS"
